"shrinkage","tree_depth","numb_trees","gbm_test_mse","opt_tree_from_train_set","opt_tree_mse_from_train_set"
0.05,1,50,0.463982998099059,50,0.453326890995716
0.05,1,100,0.344337106767625,100,0.336224965304613
0.05,1,150,0.319601305177197,150,0.311899059678495
0.05,2,50,0.381435994295737,50,0.372532690339149
0.05,2,100,0.304216391497975,100,0.307145035319527
0.05,2,150,0.290895189584805,144,0.292943530971567
0.05,3,50,0.344969939538631,50,0.346039318252364
0.05,3,100,0.297242008853593,100,0.307774772409281
0.05,3,150,0.28550263636213,146,0.296729209899092
0.05,4,50,0.33315189994609,50,0.335558596616162
0.05,4,100,0.305054181464176,100,0.315286300490058
0.05,4,150,0.293385041623381,135,0.30538601573717
0.1,1,50,0.347499213071462,50,0.338622424099232
0.1,1,100,0.303348487312613,100,0.31608617516233
0.1,1,150,0.292398367118018,144,0.310645980620668
0.1,2,50,0.302179788584367,50,0.310468825283752
0.1,2,100,0.301794504368652,96,0.314257997986864
0.1,2,150,0.308129714066743,70,0.304668439461161
0.1,3,50,0.313115261066496,47,0.315147708613123
0.1,3,100,0.298066507093708,78,0.302779763708373
0.1,3,150,0.294944608089956,80,0.308713179712263
0.1,4,50,0.313019742318715,49,0.312204885599309
0.1,4,100,0.298672140332186,63,0.303757412674663
0.1,4,150,0.316459143172814,52,0.304295191258682
0.25,1,50,0.334116074919375,34,0.339070095240611
0.25,1,100,0.328234274543659,41,0.347186742375244
0.25,1,150,0.338481294257333,38,0.348085401149241
0.25,2,50,0.334481340725808,30,0.332731520819115
0.25,2,100,0.348101957586838,17,0.360059089785154
0.25,2,150,0.355788172799209,17,0.340706848140864
0.25,3,50,0.341098809187192,18,0.339707503321786
0.25,3,100,0.339784676951533,20,0.347761231080152
0.25,3,150,0.341699043753346,16,0.330535945755426
0.25,4,50,0.356755765165389,19,0.344350600052113
0.25,4,100,0.34340294256224,15,0.361990544462039
0.25,4,150,0.345387713131601,17,0.360482810584406
0.5,1,50,0.393638707871679,14,0.430430114237043
0.5,1,100,0.391601073459806,12,0.393371499609812
0.5,1,150,0.397728814822264,17,0.39307011441404
0.5,2,50,0.400323551960659,9,0.404535089033424
0.5,2,100,0.411376989077363,8,0.40763527110912
0.5,2,150,0.419931790597331,9,0.395595791634892
0.5,3,50,0.409659325044826,7,0.416587665561879
0.5,3,100,0.408774685058689,6,0.416609162703932
0.5,3,150,0.432765854683293,6,0.406287046531357
0.5,4,50,0.411916429193942,5,0.401272714421991
0.5,4,100,0.421643891881492,6,0.414125844222909
0.5,4,150,0.39015436250591,5,0.40711058984101
